Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-05-16,252.42202758789062,256.59206585930104,246.90059620764168,250.9354804390881,32550900
2022-05-17,257.5573425292969,259.0149028011125,253.34868474571135,256.87196899135023,28828800
2022-05-18,245.830810546875,255.04172974493503,244.56334455457838,254.46120398258716,31356000
2022-05-19,244.92135620117188,249.30429522500646,243.70226967132928,245.65667612599017,32692300
2022-05-20,244.36021423339844,250.14607414733115,238.4389150078695,248.8882631085942,39199300
2022-05-23,252.18751525878906,253.0099243599592,245.2019245791374,247.19505531377055,33175400
2022-05-24,251.19097900390625,252.84545260288888,245.26968020605537,249.51716536945642,29043900
2022-05-25,253.996826171875,255.9899423675997,248.78183714380614,249.75905520569623,28547900
2022-05-26,257.2670593261719,258.43776617311875,252.9421849537325,253.7549092585627,25002100
2022-05-27,264.3687438964844,264.46550311516876,258.87316278571984,259.763306260141,26910800
2022-05-31,263.0431823730469,265.84902206515727,260.1986330948572,263.6817576729224,37827700
2022-06-01,263.575439453125,268.67432940880065,261.27270543224773,266.2651808958061,25292200
2022-06-02,265.6651916503906,265.7329260451573,253.10663251468594,255.86410740259439,44008200
2022-06-03,261.25323486328125,264.57189530095667,259.6955209965612,261.5338276844853,28059000
2022-06-06,260.02459716796875,265.27829636106657,258.5442722702789,263.2271303095513,22400300
2022-06-07,263.65283203125,264.26238275252354,257.3058157580708,257.98310089876895,22860700
2022-06-08,261.6306457519531,264.13655309709793,260.85660150666956,262.88842705123176,17372300
2022-06-09,256.19305419921875,263.8558985116178,256.03824538636314,259.0859682271301,26439700
2022-06-10,244.7762451171875,252.11980426463842,244.33117332105226,252.11980426463842,31422800
2022-06-13,234.39459228515625,240.93512629318718,233.6882971691395,237.15206786424903,46135800
2022-06-14,236.5521697998047,237.76158615878145,233.66891057036807,235.94261923059773,28651500
2022-06-15,243.5861358642578,247.01121141715927,238.41951248541616,240.24814951336052,33111700
2022-06-16,237.0166015625,239.38705487358806,235.12991483585378,237.99380474825406,33169200
2022-06-17,239.60960388183594,242.36707955457766,236.10713823491153,236.7553837419542,43084800
2022-06-21,245.50186157226562,246.4790647181553,241.40918580520898,242.13483565226932,29928300
2022-06-22,244.91168212890625,248.82052450027996,242.24128106481916,243.7119356534914,25939900
2022-06-23,250.45558166503906,250.9490329504163,245.3954029023052,247.27241931036113,25861400
2022-06-24,259.0086364746094,259.2795445759663,253.22277759883846,253.30985203926372,33923200
2022-06-27,256.2898254394531,259.58908692020407,254.7320819865546,259.5020124951496,24615100
2022-06-28,248.1529083251953,258.2442718055391,247.99809948086303,255.40940681520112,27295500
2022-06-29,251.81021118164062,253.46468475908262,247.45629682631295,249.22688443197563,20069800
2022-06-30,248.49156188964844,251.10391358347033,244.68916314620972,248.70442039452854,31730900
2022-07-01,251.1522674560547,251.33610113526663,246.34364079711162,248.06586356040017,22837700
2022-07-05,254.31607055664062,254.4418545786392,246.46937685474163,247.84327202741883,22941000
2022-07-06,257.5670166015625,259.28922459470346,253.8807173042958,255.18689308896802,23824400
2022-07-07,259.6858825683594,260.324457968474,256.4156159102422,256.5123751272476,20859900
2022-07-08,258.9698791503906,259.3955960207404,254.7417647817811,256.1930642415837,19658800
2022-07-11,255.92222595214844,257.8766324611341,253.66785697508126,257.0251984883415,19455200
2022-07-12,245.43418884277344,257.30582745769215,243.85710472123532,257.2477778174813,35868500
2022-07-13,244.5149688720703,245.31802312540924,240.05464064203076,242.06711128352157,29497400
2022-07-14,245.830810546875,246.85639326542395,237.95509174418504,242.43477469827525,25102800
2022-07-15,248.38510131835938,251.91659126646923,246.4984147054872,247.41756820782146,29774100
2022-07-18,245.99530029296875,252.37134012804827,245.07614676470823,251.3167325510271,20975000
2022-07-19,251.10391235351562,251.28774603986494,245.44383672914083,249.2172106364665,25012600
2022-07-20,253.75489807128906,256.2704900620598,250.5040009952903,251.46184932540294,22788300
2022-07-21,256.24151611328125,256.2899104944366,248.6850833881356,251.35548474975212,22404700
2022-07-22,251.90695190429688,256.71559351171373,250.6588552259502,256.6285190592783,21881300
2022-07-25,250.4265594482422,253.0098856124285,248.47215337066098,252.52611910074125,21056000
2022-07-26,243.72158813476562,251.44251309723307,241.46724894665664,251.42314353761344,39348000
2022-07-27,260.01483154296875,261.2822975208546,250.44594469622396,252.68094375810006,45994000
2022-07-28,267.4358215332031,268.81938674780196,259.17308078267786,260.9920476929204,33459300
2022-07-29,271.625244140625,272.8443453449876,267.64869711004144,268.6839646557535,32152800
2022-08-01,268.98382568359375,272.1476475746915,266.8842663401412,268.799992074071,21539600
2022-08-02,265.8974914550781,268.8678255810628,263.53670799309106,267.0391735890701,22754200
2022-08-03,273.2990417480469,274.29559953530566,267.62928313742134,267.77443670567607,23518900
2022-08-04,274.4407958984375,274.58591997817257,271.07379914150016,272.65085351031576,18098700
2022-08-05,273.7248229980469,274.44078812230066,269.632146904856,270.0868886929883,16774600
2022-08-08,271.2188415527344,276.63703193658046,270.2513086101462,274.8277205314604,18739200
2022-08-09,273.1346130371094,273.8892877589125,268.5968799256363,270.5610006852255,23405200
2022-08-10,279.7718811035156,280.40077172746834,277.62395639158353,278.81403276129174,24687800
2022-08-11,277.7013244628906,281.7552902911237,277.20790268722305,281.4069925671231,20065900
2022-08-12,282.4326171875,282.4326171875,277.62397604955174,279.1139854304459,22619700
2022-08-15,283.9419860839844,284.62892642888846,280.6910589868737,281.55217775836655,18085700
2022-08-16,283.2066955566406,284.4935315241321,280.9910653118464,282.51007032188716,18102900
2022-08-17,282.4600830078125,284.4283433719824,280.6663411966556,280.9281190261752,18253400
2022-08-18,281.3450012207031,283.0320727028022,280.2881256209133,281.36438230357066,17186200
2022-08-19,277.4472961425781,280.45302156557796,276.87524340040335,280.1136602196925,20570000
2022-08-22,269.302734375,273.8694799294029,268.7888545532896,273.5010322101689,25061100
2022-08-23,268.0326232910156,270.37900717902073,267.02424456116967,268.0326232910156,17527400
2022-08-24,267.40240478515625,268.7986124206689,266.7430631426748,267.03395699391723,18137000
2022-08-25,270.3693542480469,270.5341674761129,266.17102576018783,268.89556299786517,16583400
2022-08-26,259.93658447265625,271.81402564273543,259.8299441018192,270.5923365109039,27549300
2022-08-29,257.1635437011719,259.2675307004995,255.82550904713992,257.7646828438369,20338500
2022-08-30,254.9722900390625,258.9281919093527,252.73254647605063,258.55977371104024,22767100
2022-08-31,253.5178680419922,258.986322342565,253.38211168370708,257.3186614112336,24791800
2022-09-01,252.48040771484375,252.95552538819916,247.64217884234645,250.99694103030285,23263400
2022-09-02,248.27243041992188,256.68843798920335,246.73079073027628,253.7409149849548,22855400
2022-09-06,245.54786682128906,249.98856152174304,244.27771043015858,248.408159830305,21328200
2022-09-07,250.2406768798828,250.95816170983366,245.51879346007277,246.95377791469627,24126700
2022-09-08,250.65757751464844,252.50949191714798,247.041022768642,249.67831493374948,20319900
2022-09-09,256.4170227050781,257.1636237865556,252.37386064994,252.57746567695517,22084700
2022-09-12,258.5403137207031,259.31600091262334,257.09563886057305,257.69677794091064,18747700
2022-09-13,244.3262176513672,252.48043254990552,243.93837399962155,250.96787929490384,33353300
2022-09-14,244.54922485351562,246.49808932194622,242.26099903033722,245.8193814071736,23913000
2022-09-15,237.917236328125,243.75413876662034,236.59859756302296,242.1737221928397,31530900
2022-09-16,237.29672241210938,237.83968875284026,234.6982216168246,236.83131001029162,39791800
2022-09-19,237.0833740234375,237.68451311918642,233.5249921595804,235.09571807800603,26826900
2022-09-20,235.07635498046875,236.10411478867206,232.3518179959653,234.7079219968837,26660300
2022-09-21,231.68276977539062,240.12787756364517,231.634287475008,236.84097880590735,28625600
2022-09-22,233.65101623535156,236.44343087375472,230.34473658595115,230.63560078185145,31061200
2022-09-23,230.68411254882812,233.79649299504186,228.0468350078117,232.2548385862269,34176000
2022-09-26,230.2283935546875,234.106740937524,229.69511783060327,229.84056473429231,27694200
2022-09-27,229.22003173828125,234.44610429031408,227.36811729613822,232.68144911431068,27018700
2022-09-28,233.7383270263672,234.96000122532365,227.5911346801097,229.60787725874428,29029700
2022-09-29,230.27687072753906,232.652355487679,227.28085099175377,231.6245958212714,27484200
2022-09-30,225.81675720214844,233.224399677071,225.65192922341265,231.04282940218874,35694800
2022-10-03,233.41835021972656,234.26188606885609,227.52326022905194,228.25045038719026,28880400
2022-10-04,241.310791015625,242.74577547683293,237.52939325058418,237.6360484007584,34888400
2022-10-05,241.62103271484375,242.95906726147314,236.67614880702004,238.50866730601555,20347100
2022-10-06,239.28433227539062,242.72636855289312,238.59593389672287,240.38966069294162,20239900
2022-10-07,227.11602783203125,233.98070446797666,226.07856280672056,233.57346497384196,37769600
2022-10-10,222.2777862548828,227.4262900818972,219.83442324055144,225.962219258619,29743600
