Date,AAPL,BAC,COP,COST,CVX,EWA,EWC,GOOGL,GS,JNJ,JPM,KO,MCD,META,MRK,MS,MSFT,NVDA,PEP,PFE,QQQ,SLB,SPY,UNH,WMT,XOM
2022-05-20,134.76614379882812,30.250078201293945,89.8427734375,396.5209045410156,141.53787231445312,20.278963088989258,33.156959533691406,107.88143157958984,274.8320617675781,155.9180908203125,105.56661224365234,53.812435150146484,210.51004028320312,191.85519409179688,82.24787139892578,69.21941375732422,243.90106201171875,16.644264221191406,139.77720642089844,41.26801300048828,281.17694091796875,37.09119415283203,367.7491760253906,449.275390625,37.75640106201172,79.80271911621094
2022-05-23,140.1728515625,32.0457878112793,93.26472473144531,408.9470520019531,144.82711791992188,20.540462493896484,33.733848571777344,110.43711853027344,283.6199035644531,159.10121154785156,112.09817504882812,55.471473693847656,214.19088745117188,194.52178955078125,82.49402618408203,71.7834243774414,251.71368408203125,16.84765625,142.69839477539062,41.59048080444336,285.8521423339844,39.517635345458984,374.6297912597656,455.1488037109375,38.833343505859375,81.56629180908203
2022-05-24,137.4792938232422,31.8492488861084,93.65824127197266,416.7835388183594,145.60299682617188,20.515161514282227,33.39503860473633,104.97113037109375,281.237060546875,160.83905029296875,113.68157958984375,56.4951171875,220.05859375,179.7019500732422,83.2061767578125,71.47816467285156,250.71897888183594,16.105871200561523,144.6114044189453,42.0073356628418,279.7742919921875,39.59882354736328,371.77008056640625,460.217529296875,39.317970275878906,82.00933074951172
2022-05-25,137.63595581054688,32.01898956298828,95.12966918945312,419.0687561035156,147.939208984375,20.582639694213867,33.55986785888672,104.80768585205078,282.088134765625,159.26083374023438,114.47330474853516,56.53924560546875,219.5996551513672,182.229736328125,82.42367553710938,71.71365356445312,253.51954650878906,16.92442512512207,145.60231018066406,42.243289947509766,283.6897888183594,40.636146545410156,375.0545654296875,460.7077331542969,39.077239990234375,83.65997314453125
2022-05-26,140.8291015625,32.760498046875,96.7978515625,442.7593078613281,148.9344024658203,20.607948303222656,33.90782165527344,106.77644348144531,289.9084777832031,159.11895751953125,116.45256042480469,56.742218017578125,223.271484375,189.9618682861328,81.15767669677734,74.12937927246094,256.78363037109375,17.79781723022461,146.58468627929688,42.46351623535156,291.55010986328125,42.11546325683594,382.5486755371094,464.53704833984375,39.91029357910156,83.955322265625
2022-05-27,146.56881713867188,33.07318878173828,98.0383071899414,448.2535095214844,150.35977172851562,21.046594619750977,34.44807815551758,111.25779724121094,294.3426513671875,160.564208984375,118.09895324707031,57.077537536621094,226.67335510253906,193.43136596679688,81.83464813232422,75.3939437866211,263.8720397949219,18.75495719909668,148.01512145996094,42.400596618652344,301.066162109375,43.486549377441406,391.9399108886719,469.0507507324219,40.69581985473633,84.7806396484375
2022-05-31,145.78521728515625,33.234004974365234,96.12203216552734,443.9305114746094,147.30667114257812,20.818838119506836,34.6403694152832,112.68968200683594,294.5860290527344,159.1809844970703,118.96263122558594,55.93035125732422,226.97935485839844,191.954345703125,80.9114761352539,75.12358856201172,262.5489196777344,18.616371154785156,144.5511016845703,41.716331481933594,300.2674560546875,41.60801315307617,389.7406921386719,459.4960021972656,40.74332809448242,83.39932250976562
2022-06-01,145.65789794921875,32.760498046875,99.02212524414062,435.1417236328125,148.7067108154297,20.886320114135742,34.567115783691406,112.81845092773438,290.07965087890625,157.5673065185547,116.87541198730469,55.65678787231445,224.34243774414062,186.9978790283203,80.12901306152344,74.12937927246094,263.0801696777344,18.265422821044922,143.46531677246094,41.18937301635742,298.0467224121094,42.25984191894531,386.5882873535156,455.5835876464844,39.73607635498047,84.99781799316406
2022-06-02,148.10659790039062,32.97614288330078,98.34628295898438,464.2978820800781,148.43682861328125,21.375581741333008,35.3271369934082,116.51377868652344,292.2427062988281,157.07078552246094,118.7557144165039,56.23921585083008,225.33236694335938,197.12889099121094,79.1267318725586,74.3038101196289,265.166015625,19.533626556396484,144.62803649902344,41.43318557739258,306.2089538574219,41.915828704833984,393.9503173828125,455.3153076171875,40.38857650756836,84.85012817382812
2022-06-03,142.396240234375,32.51790237426758,101.04961395263672,453.48095703125,149.78627014160156,21.071901321411133,34.814353942871094,113.46133422851562,287.2225036621094,156.4235076904297,117.10032653808594,55.568546295166016,224.7532501220703,189.11923217773438,79.04762268066406,73.3619155883789,260.7623596191406,18.664220809936523,143.04014587402344,41.842166900634766,298.241455078125,42.975032806396484,387.4849548339844,449.1643981933594,39.694908142089844,86.08373260498047
2022-06-06,143.14065551757812,32.481956481933594,100.41654968261719,449.8816833496094,149.1368408203125,21.038162231445312,34.942543029785156,115.71935272216797,288.87188720703125,156.40579223632812,116.71344757080078,55.480289459228516,224.49082946777344,192.5590057373047,78.9860610961914,74.01600646972656,259.5359802246094,18.730026245117188,143.63885498046875,41.88936233520508,299.2349548339844,42.74871063232422,388.664794921875,453.391357421875,39.552364349365234,85.8665542602539
2022-06-07,145.65789794921875,32.66166305541992,104.97626495361328,449.2247619628906,151.97903442382812,20.987545013427734,35.235557556152344,116.04524993896484,289.7731628417969,158.12588500976562,117.01934814453125,55.81562042236328,225.27809143066406,193.94683837890625,79.54875183105469,74.41718292236328,263.1573181152344,18.869611740112305,144.5238800048828,42.43991470336914,301.8160705566406,44.296791076660156,392.3929443359375,459.7920837402344,39.077239990234375,89.80194091796875
2022-06-08,144.92330932617188,32.24833297729492,104.24910736083984,445.6158752441406,152.76344299316406,20.62482261657715,34.905914306640625,116.0893325805664,283.6172790527344,157.18603515625,115.15705871582031,55.49794006347656,222.26463317871094,194.92822265625,78.66956329345703,72.55958557128906,261.1390686035156,18.596372604370117,143.80372619628906,42.054527282714844,299.6441345214844,44.876190185546875,388.1268005371094,456.49005126953125,38.738319396972656,90.86183166503906
2022-06-09,139.71246337890625,31.008358001708984,101.42601776123047,449.4818115234375,149.71876525878906,20.0184383392334,34.14589309692383,113.75305938720703,274.1899108886719,154.02069091796875,112.7369384765625,54.53605651855469,219.14251708984375,182.39828491210938,77.36837768554688,70.78048706054688,255.7118377685547,17.99803352355957,141.24400329589844,40.72532272338867,291.6182861328125,43.58159637451172,378.89599609375,452.6976623535156,38.33287811279297,88.89846801757812
